Row Labels,Price Low,Price High,Average Volume,Average Price,Volatility,,,,
EFX,$88.68 ,$138.69 ,"1,090,285",$115.78 ,43%,,,,
EIX,$45.50 ,$71.00 ,"2,426,900",$62.82 ,41%,,,,
EL,$121.47 ,$169.47 ,"2,078,093",$142.97 ,34%,,,,
EMN,$67.40 ,$110.17 ,"1,133,332",$90.27 ,47%,,,,
EMR,$55.39 ,$79.70 ,"3,370,465",$69.48 ,35%,,,,
EOG,$82.04 ,$133.53 ,"3,505,426",$109.86 ,47%,,,,
EQIX,$335.29 ,$467.99 ,"555,902",$411.80 ,32%,,,,
EQR,$59.29 ,$77.46 ,"1,715,050",$67.37 ,27%,,,,
ES,$52.76 ,$72.26 ,"1,734,379",$63.56 ,31%,,,,
ESS,$226.22 ,$294.61 ,"369,331",$252.66 ,27%,,,,
ETFC,$40.41 ,$66.46 ,"2,781,707",$54.08 ,48%,,,,
ETN,$64.46 ,$89.46 ,"2,703,674",$77.77 ,32%,,,,
ETR,$75.45 ,$96.87 ,"1,560,303",$84.86 ,25%,,,,
EVRG,$50.89 ,$61.10 ,"1,991,397",$56.74 ,18%,,,,
EW,$123.00 ,$197.86 ,"1,409,549",$154.23 ,49%,,,,
EXC,$38.03 ,$50.85 ,"5,618,335",$44.34 ,29%,,,,
EXPD,$61.69 ,$79.25 ,"1,216,678",$72.10 ,24%,,,,
EXPE,$105.87 ,$139.77 ,"1,637,513",$122.11 ,28%,,,,
EXR,$83.70 ,$102.78 ,"932,780",$93.76 ,20%,,,,
F,$7.41 ,$12.15 ,"42,360,098",$9.68 ,49%,,,,
FANG,$85.19 ,$140.78 ,"2,089,448",$115.96 ,48%,,,,
FAST,$47.37 ,$69.80 ,"2,774,141",$56.21 ,40%,,,,
FB,$123.02 ,$218.62 ,"23,411,908",$167.13 ,57%,,,,
FBHS,$35.27 ,$59.61 ,"1,830,103",$49.94 ,49%,,,,
FCX,$9.60 ,$19.70 ,"19,540,365",$13.83 ,73%,,,,
FDX,$150.94 ,$266.67 ,"1,920,201",$218.11 ,53%,,,,
FE,$32.92 ,$42.13 ,"4,397,552",$37.32 ,25%,,,,
FFIV,$148.91 ,$199.71 ,"696,610",$171.42 ,30%,,,,
FIS,$93.87 ,$115.56 ,"1,868,285",$105.72 ,21%,,,,
FISV,$68.43 ,$91.19 ,"2,829,712",$78.35 ,29%,,,,
FITB,$22.12 ,$34.67 ,"6,715,710",$28.35 ,44%,,,,
FL,$40.02 ,$68.00 ,"3,027,113",$52.14 ,54%,,,,
FLIR,$40.52 ,$63.88 ,"986,852",$52.40 ,45%,,,,
FLR,$29.78 ,$62.08 ,"1,695,621",$46.07 ,70%,,,,
FLS,$35.88 ,$56.86 ,"1,200,821",$45.75 ,46%,,,,
FLT,$172.18 ,$252.34 ,"771,276",$210.77 ,38%,,,,
FMC,$60.16 ,$81.01 ,"1,254,498",$73.73 ,28%,,,,
FOX,$35.21 ,$51.88 ,"4,364,883",$44.63 ,37%,,,,
FOXA,$35.79 ,$51.82 ,"11,180,255",$44.95 ,36%,,,,
FRC,$79.42 ,$106.75 ,"1,316,677",$97.22 ,28%,,,,
FRT,$110.66 ,$139.29 ,"410,877",$126.12 ,23%,,,,
FTI,$18.20 ,$34.39 ,"3,810,433",$27.41 ,59%,,,,
FTNT,$53.40 ,$94.37 ,"1,984,102",$73.99 ,55%,,,,
FTV,$62.89 ,$88.34 ,"2,893,717",$77.62 ,33%,,,,
GD,$143.87 ,$229.74 ,"1,508,450",$185.51 ,46%,,,,
GE,$6.40 ,$14.99 ,"94,989,792",$10.97 ,78%,,,,
GILD,$60.32 ,$79.61 ,"7,154,108",$70.36 ,27%,,,,
GIS,$36.42 ,$51.96 ,"5,168,672",$44.38 ,35%,,,,
GLW,$26.11 ,$36.56 ,"5,326,260",$31.45 ,33%,,,,
GM,$30.56 ,$45.00 ,"11,376,243",$37.22 ,39%,,,,
GOOG,$970.11 ,"$1,273.89 ","1,602,805","$1,124.59 ",27%,,,,
GOOGL,$977.66 ,"$1,291.44 ","1,861,862","$1,133.90 ",28%,,,,
GPC,$86.89 ,$115.20 ,"903,797",$98.77 ,29%,,,,
GPN,$94.81 ,$139.40 ,"1,144,180",$117.22 ,38%,,,,
GPS,$24.25 ,$34.21 ,"5,275,113",$28.10 ,35%,,,,
GRMN,$57.01 ,$89.72 ,"1,066,812",$67.45 ,48%,,,,
GS,$151.70 ,$262.50 ,"3,319,962",$214.81 ,52%,,,,
GWW,$265.00 ,$372.06 ,"635,644",$310.37 ,34%,,,,
HAL,$24.70 ,$54.91 ,"9,617,165",$38.25 ,79%,,,,
HAS,$76.84 ,$109.60 ,"1,300,224",$92.05 ,36%,,,,
HBAN,$11.12 ,$16.52 ,"11,528,737",$14.45 ,37%,,,,
HBI,$11.57 ,$22.57 ,"6,171,742",$17.60 ,62%,,,,
HCA,$93.03 ,$147.42 ,"1,797,281",$124.66 ,44%,,,,
HCP,$21.80 ,$32.23 ,"3,272,262",$27.26 ,38%,,,,
HD,$158.09 ,$215.43 ,"4,753,553",$188.71 ,30%,,,,
HES,$35.59 ,$74.81 ,"3,754,746",$59.84 ,66%,,,,
HFC,$46.75 ,$83.28 ,"2,591,369",$62.86 ,58%,,,,
HIG,$40.54 ,$55.16 ,"2,400,073",$49.04 ,30%,,,,
HII,$173.80 ,$267.73 ,"390,795",$222.12 ,42%,,,,
HLT,$63.76 ,$89.34 ,"3,211,083",$78.04 ,33%,,,,
HOG,$31.36 ,$46.79 ,"2,283,163",$40.21 ,38%,,,,
HOLX,$35.10 ,$48.82 ,"2,131,628",$41.61 ,33%,,,,
HON,$123.48 ,$162.63 ,"2,916,683",$146.99 ,27%,,,,
HP,$44.56 ,$74.36 ,"1,341,207",$61.67 ,48%,,,,
HPE,$12.09 ,$17.88 ,"11,048,283",$15.72 ,37%,,,,
HPQ,$18.46 ,$27.08 ,"9,821,637",$22.69 ,38%,,,,
HRB,$22.45 ,$29.81 ,"3,057,423",$25.78 ,29%,,,,
HRL,$34.12 ,$46.26 ,"2,735,894",$40.24 ,30%,,,,
HRS,$123.24 ,$175.50 ,"891,980",$154.86 ,34%,,,,
HSIC,$53.69 ,$71.65 ,"1,821,208",$61.49 ,29%,,,,
HST,$15.94 ,$22.47 ,"6,741,439",$19.72 ,33%,,,,
HSY,$89.10 ,$116.73 ,"1,210,977",$102.41 ,27%,,,,
HUM,$251.69 ,$355.88 ,"825,541",$305.05 ,34%,,,,
IBM,$105.94 ,$162.00 ,"5,080,068",$137.46 ,41%,,,,
ICE,$67.70 ,$82.65 ,"2,717,171",$75.08 ,20%,,,,
IDXX,$176.11 ,$256.22 ,"502,570",$216.42 ,37%,,,,
IFF,$121.85 ,$150.57 ,"929,104",$133.11 ,22%,,,,
ILMN,$226.62 ,$372.61 ,"974,131",$305.37 ,48%,,,,
INCY,$57.00 ,$88.83 ,"1,663,451",$71.14 ,45%,,,,
INFO,$44.52 ,$55.99 ,"1,905,762",$52.08 ,22%,,,,
INTC,$42.36 ,$57.60 ,"25,691,701",$50.04 ,30%,,,,
INTU,$171.11 ,$272.14 ,"1,561,556",$214.69 ,47%,,,,
IP,$37.55 ,$59.57 ,"3,059,113",$48.96 ,45%,,,,
IPG,$19.61 ,$25.77 ,"4,358,303",$22.75 ,27%,,,,
IPGP,$104.64 ,$261.77 ,"564,571",$172.31 ,91%,,,,
IQV,$91.57 ,$146.10 ,"1,338,186",$120.22 ,45%,,,,
IR,$79.63 ,$114.50 ,"1,583,098",$97.27 ,36%,,,,
IRM,$30.22 ,$37.32 ,"1,850,130",$34.48 ,21%,,,,
ISRG,$411.81 ,$589.32 ,"764,029",$513.96 ,35%,,,,
IT,$114.40 ,$161.21 ,"617,195",$140.43 ,33%,,,,
ITW,$117.75 ,$160.21 ,"1,608,591",$139.72 ,30%,,,,
IVZ,$15.38 ,$31.53 ,"4,665,269",$22.78 ,71%,,,,
JBHT,$88.38 ,$131.74 ,"889,788",$113.16 ,38%,,,,
JCI,$28.30 ,$40.33 ,"4,950,615",$34.81 ,35%,,,,
JEC,$55.17 ,$82.24 ,"1,236,164",$68.21 ,40%,,,,
JEF,$16.20 ,$25.07 ,"2,234,057",$21.61 ,41%,,,,
JKHY,$116.79 ,$163.68 ,"536,622",$137.13 ,34%,,,,
JNJ,$118.62 ,$148.99 ,"7,336,913",$133.01 ,23%,,,,
JNPR,$23.61 ,$30.80 ,"4,410,264",$27.40 ,26%,,,,
JPM,$91.11 ,$119.24 ,"14,551,497",$108.06 ,26%,,,,
JWN,$42.54 ,$67.75 ,"2,759,186",$52.08 ,48%,,,,
K,$53.14 ,$74.98 ,"2,581,157",$63.84 ,34%,,,,
KEY,$13.66 ,$21.91 ,"11,381,729",$18.66 ,44%,,,,
KEYS,$50.59 ,$92.00 ,"1,642,127",$65.17 ,64%,,,,
KHC,$31.53 ,$64.99 ,"7,624,628",$51.95 ,64%,,,,
KIM,$13.16 ,$18.64 ,"3,851,212",$16.32 ,34%,,,,
KLAC,$80.65 ,$125.50 ,"1,601,186",$105.33 ,43%,,,,
KMB,$97.10 ,$124.50 ,"2,176,778",$111.28 ,25%,,,,
KMI,$14.62 ,$20.44 ,"14,388,775",$17.62 ,33%,,,,
KMX,$55.24 ,$81.67 ,"1,752,092",$68.14 ,39%,,,,
KO,$41.45 ,$50.84 ,"13,276,519",$45.96 ,20%,,,,
KR,$23.48 ,$32.74 ,"9,212,615",$27.83 ,33%,,,,
KSS,$57.89 ,$83.28 ,"3,529,562",$70.36 ,36%,,,,
KSU,$90.55 ,$120.34 ,"1,113,891",$108.35 ,27%,,,,
L,$42.06 ,$53.04 ,"1,215,165",$48.67 ,23%,,,,
LB,$23.71 ,$38.14 ,"5,010,011",$30.90 ,47%,,,,
LEG,$33.48 ,$46.71 ,"1,222,744",$41.96 ,32%,,,,
LEN,$37.29 ,$58.49 ,"4,120,337",$48.45 ,44%,,,,
LH,$119.38 ,$190.36 ,"804,346",$163.00 ,44%,,,,
LIN,$145.95 ,$185.92 ,"2,467,704",$162.47 ,25%,,,,
LKQ,$22.74 ,$39.51 ,"2,791,740",$29.92 ,56%,,,,
LLL,$158.76 ,$223.73 ,"683,340",$199.75 ,33%,,,,
LLY,$77.09 ,$132.13 ,"7,309,247",$105.46 ,52%,,,,
LMT,$241.18 ,$361.99 ,"1,393,551",$309.36 ,39%,,,,
LNC,$48.07 ,$74.17 ,"1,788,279",$63.41 ,41%,,,,
LNT,$38.22 ,$47.91 ,"1,586,753",$43.41 ,22%,,,,
LOW,$81.16 ,$117.70 ,"4,980,814",$98.69 ,37%,,,,
LRCX,$122.64 ,$212.85 ,"2,963,833",$168.34 ,54%,,,,
LUV,$44.28 ,$64.02 ,"5,270,465",$54.17 ,36%,,,,
LW,$63.01 ,$83.86 ,"1,457,703",$70.72 ,29%,,,,
LYB,$77.52 ,$119.39 ,"2,495,711",$98.94 ,42%,,,,
M,$22.73 ,$41.99 ,"8,881,527",$32.10 ,60%,,,,
MA,$170.65 ,$240.93 ,"3,794,935",$204.87 ,34%,,,,
MAA,$87.47 ,$111.10 ,"589,823",$99.75 ,24%,,,,
MAC,$40.90 ,$60.95 ,"1,125,554",$51.55 ,39%,,,,
MAS,$27.03 ,$41.76 ,"3,872,406",$35.95 ,41%,,,,
MAT,$9.09 ,$17.98 ,"4,747,214",$14.45 ,62%,,,,
MCD,$153.13 ,$192.28 ,"3,672,321",$171.26 ,23%,,,,
MCHP,$60.70 ,$104.20 ,"3,101,821",$83.83 ,52%,,,,
MCK,$106.11 ,$160.84 ,"1,665,448",$130.34 ,42%,,,,
MCO,$129.26 ,$188.51 ,"958,020",$166.07 ,36%,,,,
MDLZ,$37.42 ,$50.05 ,"7,617,373",$43.12 ,29%,,,,
MDT,$78.29 ,$100.15 ,"5,284,521",$90.07 ,24%,,,,
MET,$37.76 ,$48.92 ,"5,932,854",$44.83 ,25%,,,,
MGM,$21.62 ,$36.80 ,"8,838,623",$28.45 ,53%,,,,
MHK,$109.35 ,$247.13 ,"1,065,315",$166.23 ,83%,,,,
MKC,$99.53 ,$156.00 ,"1,094,240",$128.33 ,44%,,,,
MLM,$150.75 ,$232.89 ,"762,337",$196.27 ,42%,,,,
MMC,$74.30 ,$95.43 ,"1,758,290",$84.99 ,25%,,,,
MMM,$176.87 ,$221.69 ,"2,459,293",$202.50 ,22%,,,,
MNST,$47.61 ,$66.38 ,"3,530,075",$56.24 ,33%,,,,
MO,$42.40 ,$66.04 ,"9,514,346",$56.29 ,42%,,,,
MOS,$24.52 ,$37.37 ,"4,081,940",$30.25 ,42%,,,,
MPC,$54.29 ,$88.45 ,"6,341,455",$71.32 ,48%,,,,
MRK,$56.26 ,$83.85 ,"10,718,327",$70.44 ,39%,,,,
MRO,$12.57 ,$24.20 ,"12,342,286",$18.75 ,62%,,,,
MS,$36.74 ,$55.64 ,"11,250,260",$46.44 ,41%,,,,
MSCI,$134.28 ,$218.51 ,"655,797",$166.73 ,51%,,,,
MSFT,$90.28 ,$120.98 ,"29,898,599",$106.40 ,29%,,,,
MSI,$105.06 ,$144.94 ,"1,025,907",$123.20 ,32%,,,,
MTB,$133.78 ,$188.80 ,"890,598",$168.50 ,33%,,,,
MTD,$500.74 ,$750.00 ,"169,133",$603.45 ,41%,,,,
MU,$28.39 ,$64.66 ,"37,690,967",$45.06 ,80%,,,,
MXIM,$46.64 ,$63.68 ,"2,686,577",$56.12 ,30%,,,,
MYL,$26.00 ,$42.50 ,"4,872,621",$34.15 ,48%,,,,
NBL,$17.11 ,$37.76 ,"5,278,284",$28.44 ,73%,,,,
NCLH,$39.36 ,$58.81 ,"2,132,651",$51.28 ,38%,,,,
NDAQ,$75.49 ,$96.84 ,"900,409",$88.50 ,24%,,,,
NEE,$155.06 ,$195.55 ,"1,983,310",$173.33 ,23%,,,,
NEM,$29.06 ,$41.98 ,"6,883,726",$34.78 ,37%,,,,
NFLX,$231.23 ,$423.21 ,"10,905,464",$340.05 ,56%,,,,
NI,$23.23 ,$28.85 ,"3,149,110",$26.07 ,22%,,,,
NKE,$64.99 ,$88.59 ,"6,964,210",$77.62 ,30%,,,,
NKTR,$29.22 ,$104.88 ,"2,654,746",$51.16 ,148%,,,,
NLSN,$20.53 ,$34.86 ,"4,457,116",$27.31 ,52%,,,,
NOC,$223.63 ,$359.88 ,"1,206,117",$293.65 ,46%,,,,
NRG,$29.90 ,$43.66 ,"4,363,756",$36.77 ,37%,,,,
NSC,$132.93 ,$196.57 ,"1,867,131",$165.77 ,38%,,,,
NTAP,$54.50 ,$88.08 ,"2,886,488",$72.73 ,46%,,,,
NTRS,$75.96 ,$115.61 ,"1,219,337",$98.96 ,40%,,,,
NUE,$49.79 ,$68.84 ,"2,443,150",$61.36 ,31%,,,,
NVDA,$124.46 ,$292.76 ,"13,512,505",$211.66 ,80%,,,,
NWL,$14.74 ,$28.38 ,"7,784,173",$21.60 ,63%,,,,
NWS,$10.85 ,$16.80 ,"616,406",$13.97 ,43%,,,,
NWSA,$10.65 ,$16.65 ,"2,864,641",$13.70 ,44%,,,,
O,$48.80 ,$74.14 ,"1,987,886",$60.46 ,42%,,,,
OKE,$50.26 ,$71.99 ,"2,438,315",$65.40 ,33%,,,,
OMC,$65.85 ,$78.75 ,"2,202,992",$73.41 ,18%,,,,
ORCL,$42.40 ,$54.65 ,"17,636,291",$48.68 ,25%,,,,
ORLY,$217.64 ,$409.33 ,"697,418",$326.65 ,59%,,,,
OXY,$56.83 ,$87.67 ,"4,809,331",$74.22 ,42%,,,,
PAYX,$59.55 ,$82.21 ,"2,121,336",$70.16 ,32%,,,,
