141,DLTR,79,107,3129005,91,31,Consumer Discretionary,HIGH,STABLE,BUDGET
142,DOV,66,98,1506864,82,39,Industrials,LOW,GROWTH,BUDGET
143,DRE,25,31,2236151,28,22,Real Estate,LOW,STABLE,BUDGET
144,DRI,84,124,1450253,106,37,Consumer Discretionary,LOW,STABLE,ANY
145,DTE,94,126,1177053,112,28,Utilities,LOW,STABLE,ANY
146,DUK,72,92,3672271,83,24,Utilities,HIGH,STABLE,BUDGET
147,DVA,48,79,1588133,64,48,Health Care,LOW,GROWTH,BUDGET
148,DVN,20,47,7448648,35,75,Energy,HIGH,GROWTH,BUDGET
149,DWDP,33,48,14331610,41,38,Materials,HIGH,GROWTH,BUDGET
150,DXC,49,97,2355852,76,62,Information Technology,HIGH,GROWTH,BUDGET
151,EA,74,151,4971177,111,70,Communication Services,HIGH,GROWTH,ANY
152,EBAY,26,43,11619877,34,49,Consumer Discretionary,HIGH,GROWTH,BUDGET
153,ECL,136,185,1103168,153,32,Materials,LOW,STABLE,ANY
154,ED,71,86,1953625,79,19,Utilities,LOW,STABLE,BUDGET
155,EFX,89,139,1090285,116,43,Industrials,LOW,GROWTH,ANY
156,EIX,46,71,2426900,63,41,Utilities,HIGH,GROWTH,BUDGET
157,EL,121,169,2078093,143,34,Consumer Staples,LOW,STABLE,ANY
158,EMN,67,110,1133332,90,47,Materials,LOW,GROWTH,BUDGET
159,EMR,55,80,3370465,69,35,Industrials,HIGH,STABLE,BUDGET
160,EOG,82,134,3505426,110,47,Energy,HIGH,GROWTH,ANY
161,EQIX,335,468,555902,412,32,Real Estate,LOW,STABLE,ANY
162,EQR,59,77,1715050,67,27,Real Estate,LOW,STABLE,BUDGET
163,ES,53,72,1734379,64,31,Utilities,LOW,STABLE,BUDGET
164,ESS,226,295,369331,253,27,Real Estate,LOW,STABLE,ANY
165,ETFC,40,66,2781707,54,48,Financials,HIGH,GROWTH,BUDGET
166,ETN,64,89,2703674,78,32,Industrials,HIGH,STABLE,BUDGET
167,ETR,75,97,1560303,85,25,Utilities,LOW,STABLE,BUDGET
168,EVRG,51,61,1991397,57,18,Utilities,LOW,STABLE,BUDGET
169,EW,123,198,1409549,154,49,Health Care,LOW,GROWTH,ANY
170,EXC,38,51,5618335,44,29,Utilities,HIGH,STABLE,BUDGET
171,EXPD,62,79,1216678,72,24,Industrials,LOW,STABLE,BUDGET
172,EXPE,106,140,1637513,122,28,Consumer Discretionary,LOW,STABLE,ANY
173,EXR,84,103,932780,94,20,Real Estate,LOW,STABLE,BUDGET
174,F,7,12,42360098,10,49,Consumer Discretionary,HIGH,GROWTH,BUDGET
175,FANG,85,141,2089448,116,48,Energy,LOW,GROWTH,ANY
176,FAST,47,70,2774141,56,40,Industrials,HIGH,GROWTH,BUDGET
177,FB,123,219,23411908,167,57,Communication Services,HIGH,GROWTH,ANY
178,FBHS,35,60,1830103,50,49,Industrials,LOW,GROWTH,BUDGET
179,FCX,10,20,19540365,14,73,Materials,HIGH,GROWTH,BUDGET
180,FDX,151,267,1920201,218,53,Industrials,LOW,GROWTH,ANY
181,FE,33,42,4397552,37,25,Utilities,HIGH,STABLE,BUDGET
